tissue,cell_type,gene,n_cells,n_donors,age_range,frac_detected,slope_per_year,se,p,q
Lung,natural killer cell,IL18,625,4,2.0,0.0912,0.04827785137976699,0.009913556685163373,1.1166490504716056e-06,5.918239967499509e-06
Lung,natural killer cell,TNFSF14,625,4,2.0,0.0656,-0.07184260958741479,0.007484865190337454,8.120767565640587e-22,1.173820039033503e-20
Lung,natural killer cell,CDKN2A,625,4,2.0,0.0528,0.035663358345723574,0.009793374263522022,0.0002709696244907508,0.000897586881125612
Lung,natural killer cell,IL4R,625,4,2.0,0.1808,-0.05893531273709718,0.0675379908394114,0.3828677234928807,0.5246271739958283
Lung,neutrophil,STAT6,228,4,2.0,0.3201754385964912,-0.11988740954730043,0.09689540957527236,0.21598063313025007,0.3434092066770976
Lung,neutrophil,IL1RL1,228,4,2.0,0.14035087719298245,-0.04121259163515918,0.0723524327486662,0.5689429718947319,0.7012552909400184
Lung,neutrophil,TNFSF14,228,4,2.0,0.13157894736842105,-0.0011016710452134565,0.007904369535590528,0.8891538725026964,0.9193913109090632
Lung,neutrophil,IL4R,228,4,2.0,0.5745614035087719,-0.19165745910570453,0.03258990780507934,4.080817199926209e-09,2.7035413949511132e-08
Lung,neutrophil,CXCL8,228,4,2.0,0.6973684210526315,-1.1507736765746994,0.14041091671843084,2.490220921723529e-16,2.474657040962757e-15
Lung,neutrophil,IL1B,228,4,2.0,0.6491228070175439,-1.1055109186617287,0.11135219541848906,3.143211841449268e-23,4.997706827904336e-22
Lung,non-classical monocyte,STAT6,326,4,2.0,0.4785276073619632,-0.033610330995818706,0.024195045553302753,0.16478986308556298,0.2758061919011002
Lung,non-classical monocyte,IL18,326,4,2.0,0.31901840490797545,0.14899192296203373,0.030483795090747393,1.020841110018848e-06,5.597025396310235e-06
Lung,non-classical monocyte,TNF,326,4,2.0,0.05214723926380368,-0.059214433188512286,0.027092722799640295,0.028843319822430474,0.0628231212570746
Lung,non-classical monocyte,IL4R,326,4,2.0,0.2822085889570552,-0.01871519280044628,0.03884271552178268,0.6299339007932638,0.7629282683440913
Lung,non-classical monocyte,CXCL8,326,4,2.0,0.16257668711656442,-0.22604964426222993,0.16867683885030935,0.18020163472517015,0.29236795838063323
Lung,non-classical monocyte,IL1B,326,4,2.0,0.12269938650306748,-0.1338670278292226,0.01669571149896255,1.0743821538833192e-15,8.990882235128828e-15
Lung,pericyte,TSLP,456,4,2.0,0.07017543859649122,0.042378336738224665,0.004896292021237984,4.9209210260139574e-18,5.588760308115852e-17
Lung,pericyte,STAT6,456,4,2.0,0.3355263157894737,-0.021386359300905974,0.06377000514162733,0.7373482110305235,0.8434414788046996
Lung,pericyte,IL1RL1,456,4,2.0,0.19517543859649122,-0.09308576109166004,0.19515540721576682,0.633374411455472,0.7629282683440913
Lung,pericyte,IL6,456,4,2.0,0.09649122807017543,-0.07046922126656646,0.07943308242855511,0.3749970485031059,0.5246271739958283
Lung,pericyte,IL4R,456,4,2.0,0.2412280701754386,-0.03380578851183205,0.004158212379451187,4.296978387104731e-16,3.795664241942512e-15
Lung,pulmonary alveolar type 1 cell,STAT6,1916,4,2.0,0.4253653444676409,-0.04891660786079499,0.02022760395926212,0.015592805602754426,0.03814240139750698
Lung,pulmonary alveolar type 1 cell,IL18,1916,4,2.0,0.7160751565762005,-0.1324691709951124,0.03596821797120231,0.00023054982391599433,0.0007799451489924063
Lung,pulmonary alveolar type 1 cell,IL4R,1916,4,2.0,0.25417536534446766,-0.012979054622470086,0.004355594820862128,0.002883819134979634,0.007905642111409686
Lung,pulmonary alveolar type 2 cell,STAT6,7017,4,2.0,0.6049593843522874,-0.015143146485374985,0.007343536824370315,0.039197708263793124,0.08179447178252862
Lung,pulmonary alveolar type 2 cell,IL18,7017,4,2.0,0.5469573891976628,-0.0016371703261122972,0.020268410923958438,0.9356213047938976,0.9536140221937802
Lung,pulmonary alveolar type 2 cell,TNFSF14,7017,4,2.0,0.1294000285022089,-0.011387577112589295,0.008410233129268224,0.17573177042502885,0.29105574476645407
Lung,pulmonary alveolar type 2 cell,IL6,7017,4,2.0,0.09990024226877584,-0.041530753946511845,0.012469306390419802,0.0008664699693144724,0.002649398560019252
Lung,pulmonary alveolar type 2 cell,IL4R,7017,4,2.0,0.5740344876727946,0.010714708474482661,0.003497907213958523,0.002190005776325239,0.0061526858535879865
Lung,pulmonary alveolar type 2 cell,CXCL8,7017,4,2.0,0.4027362120564344,-0.4302232052923703,0.11961482601595638,0.0003222325957739538,0.0010456118924093603
Lung,respiratory tract goblet cell,IL33,627,4,2.0,0.29505582137161085,0.040138718504902964,0.015900010437451616,0.011588079099501101,0.02908931656381522
Lung,respiratory tract goblet cell,STAT6,627,4,2.0,0.4864433811802233,0.016478444274579163,0.027080276578146944,0.5428535560662779,0.6743259016760796
Lung,respiratory tract goblet cell,IL18,627,4,2.0,0.4354066985645933,-0.019394685570328907,0.02901435631160925,0.5038455283433283,0.630798732335348
Lung,respiratory tract goblet cell,IL6,627,4,2.0,0.08293460925039872,-0.05734542647850224,0.03701468424993529,0.1213188627493117,0.2192011270129609
Lung,respiratory tract goblet cell,IL4R,627,4,2.0,0.40350877192982454,-0.06025231533691511,0.013793318483596478,1.2526054874016787e-05,5.106776217868383e-05
Lung,respiratory tract goblet cell,CXCL8,627,4,2.0,0.5055821371610846,-0.40703909728857784,0.08443731537850016,1.4312220362601427e-06,6.8958879928897784e-06
Lung,vein endothelial cell,TSLP,813,4,2.0,0.05289052890528905,0.0063256466157953425,0.003639079302148389,0.08216594867682608,0.15369865693665113
Lung,vein endothelial cell,IL33,813,4,2.0,0.7601476014760148,0.10349755318403314,0.008530564022653894,7.099748170183489e-34,2.2577199181183496e-32
Lung,vein endothelial cell,STAT6,813,4,2.0,0.3173431734317343,0.01780036633569126,0.009583553489018333,0.0632561343806281,0.12572156708149834
Lung,vein endothelial cell,IL1RL1,813,4,2.0,0.1943419434194342,-0.17576035564538578,0.205608647509797,0.39264549500316703,0.5246271739958283
Lung,vein endothelial cell,IL6,813,4,2.0,0.4194341943419434,-0.24849102519290545,0.06559727038707917,0.00015178507971325345,0.0005484960835092568
Lung,vein endothelial cell,IL4R,813,4,2.0,0.6100861008610086,-0.18115996711293264,0.037503431412241994,1.3619715028114023e-06,6.7672959045941554e-06
Lung,vein endothelial cell,CXCL8,813,4,2.0,0.05412054120541206,-0.07564321482241419,0.042022714358499205,0.0718518875326399,0.1382131007472679
Large_Intestine,B cell,STAT6,2069,5,24.0,0.43112614789753506,-0.004963742535592839,0.005484778398093124,0.36546364033439105,0.5092771892760617
Large_Intestine,B cell,TNF,2069,5,24.0,0.07539874335427743,-0.0015118071060878163,0.00349265798489842,0.6651216458703628,0.7687769673047051
Large_Intestine,B cell,IL4R,2069,5,24.0,0.28419526341227647,-0.015821419441219432,0.023748610373335925,0.505280710748837,0.6424283322378069
Large_Intestine,B cell,IL5RA,2069,5,24.0,0.055099081681971966,-0.00436761685036283,0.0005393423843052361,5.585115469554391e-16,4.142293973252839e-15
Large_Intestine,B cell,IL2RA,2069,5,24.0,0.16723054615756405,0.002015696470663703,0.004198658146363594,0.6311697184411766,0.7391329597534831
Large_Intestine,BEST4+ enterocyte,STAT6,1090,4,24.0,0.3623853211009174,-0.002295636321646403,0.0012978121949871752,0.07691875313133247,0.1456546601848636
Large_Intestine,BEST4+ enterocyte,IL18,1090,4,24.0,0.30458715596330277,-0.00582920316524295,0.007770383076009624,0.4531449704524362,0.5930867995627473
Large_Intestine,BEST4+ enterocyte,IL4R,1090,4,24.0,0.3293577981651376,-0.0009447586992947836,0.0013010717478482824,0.46775367507510623,0.603334450459195
Large_Intestine,BEST4+ enterocyte,IL1B,1090,4,24.0,0.05321100917431193,-0.003048015283596189,0.00032956748653774283,2.275979702915407e-20,2.0256219355947125e-19
Large_Intestine,"CD4-positive, alpha-beta T cell",GATA3,4240,5,24.0,0.30589622641509434,0.006197918991661234,0.00292016530459008,0.033799560964840644,0.07520402314677044
Large_Intestine,"CD4-positive, alpha-beta T cell",STAT6,4240,5,24.0,0.1429245283018868,-0.0019160668530836468,0.0011344008036323367,0.09120863640363117,0.16250096884063883
Large_Intestine,"CD4-positive, alpha-beta T cell",TNFSF14,4240,5,24.0,0.056839622641509435,-0.0008596095668276466,0.000291954433307811,0.003236569542307261,0.008728929977737764
Large_Intestine,"CD4-positive, alpha-beta T cell",TNF,4240,5,24.0,0.08396226415094339,-0.001070130313037181,0.0011231413800332248,0.34069087009517285,0.4890562490075869
Large_Intestine,"CD4-positive, alpha-beta T cell",IL4R,4240,5,24.0,0.4358490566037736,-0.015419187688265019,0.001021634654509736,1.809872710469751e-51,2.6846445205301304e-50
Large_Intestine,"CD4-positive, alpha-beta T cell",IL2RA,4240,5,24.0,0.26202830188679244,-0.01579475442518427,0.0008043189740406881,7.405778946107194e-86,2.197047754011801e-84
Large_Intestine,"CD8-positive, alpha-beta T cell",GATA3,2962,5,24.0,0.3200540175557056,0.006636477268194644,0.0012288337915412769,6.6407077650849e-08,3.6938936943284754e-07
Large_Intestine,"CD8-positive, alpha-beta T cell",STAT6,2962,5,24.0,0.14145847400405132,0.0005190441863700916,0.0005312032349438945,0.3285145172850453,0.47930806620277105
Large_Intestine,"CD8-positive, alpha-beta T cell",TNFSF14,2962,5,24.0,0.06515867656988521,-0.00019687323035232974,0.00018213297251327314,0.27972767529677034,0.41492938502354265
Large_Intestine,"CD8-positive, alpha-beta T cell",TNF,2962,5,24.0,0.09318028359216746,-0.001973569399771462,6.624001815526783e-05,4.642321962326255e-195,4.1316665464703666e-193
Large_Intestine,"CD8-positive, alpha-beta T cell",IL4R,2962,5,24.0,0.33963538149898714,-0.008890679750444996,0.001280546147352403,3.841825392519416e-12,2.6301727687248308e-11
Large_Intestine,"CD8-positive, alpha-beta T cell",IL2RA,2962,5,24.0,0.12829169480081026,-0.001902267821364126,0.000447685645837306,2.1461666499288472e-05,7.958701326819475e-05
Large_Intestine,colon endothelial cell,IL33,348,5,24.0,0.10057471264367816,0.003927843613535316,0.0011260295253253106,0.00048623989179403794,0.001492253461023082
Large_Intestine,colon endothelial cell,STAT6,348,5,24.0,0.20402298850574713,0.0003392148547912735,0.0014134834710177705,0.810341871961314,0.901505332556962
Large_Intestine,colon endothelial cell,IL1RL1,348,5,24.0,0.11494252873563218,0.011127540467911567,0.003993604313165949,0.005330688453411795,0.013953860951577935
Large_Intestine,colon endothelial cell,IL6,348,5,24.0,0.1839080459770115,0.010693676664790003,0.005318401362297325,0.04435780892990196,0.08972374988093806
