drug,pt,a,b,c,d,n_drug_reports,n_pt_reports,ror,ror_lower,ror_upper,signal_ror_gt2
sarilumab,bronchospasm,0,174,1993,1151850,174,1993,1.6555963040339556,0.10310438767811929,26.584699096298376,False
sarilumab,wheezing,10,164,9001,1144842,174,9011,8.118097338386864,4.348697202180053,15.154769654342847,True
anakinra,hypersensitivity,168,1027,24743,1128079,1195,24911,7.476470956982141,6.349467715845752,8.803512431616774,True
anakinra,anaphylaxis,7,1188,9689,1143133,1195,9696,0.7444879321180978,0.3630254020237422,1.526786494773256,False
anakinra,urticaria,66,1129,35551,1117271,1195,35617,1.8502746612463772,1.4445299317684313,2.3699864203293024,False
anakinra,angioedema,8,1187,4665,1148157,1195,4673,1.761524065226833,0.8966324616738205,3.4606900430313376,False
anakinra,pruritus,26,1169,50350,1102472,1195,50376,0.4961461497357564,0.3375566564154806,0.7292435128123471,False
anakinra,rash,146,1049,68853,1083969,1195,68999,2.197587736192087,1.8484028054466193,2.6127377885552177,True
anakinra,eczema,2,1193,3159,1149663,1195,3161,0.7622017982221976,0.2202602322413389,2.6375690940732484,False
anakinra,allergic_rhinitis,1,1194,2765,1150057,1195,2766,0.5222169893818918,0.10524707412243196,2.591146464383872,False
anakinra,asthma,3,1192,15496,1137326,1195,15499,0.21540768555231346,0.0754305457585437,0.6151416581756437,False
anakinra,bronchospasm,0,1195,1993,1150829,1195,1993,0.241443306387751,0.015087225674556781,3.863856182502682,False
anakinra,wheezing,2,1193,9009,1143813,1195,9011,0.2659329270576538,0.07687344631423469,0.9199577368285115,False
canakinumab,hypersensitivity,3,61,24908,1129045,64,24911,2.5796263103446417,0.8785418085137141,7.574451023884805,False
canakinumab,anaphylaxis,2,62,9694,1144259,64,9696,4.721272886688328,1.3334350793200633,16.716537622472423,True
canakinumab,urticaria,1,63,35616,1118337,64,35617,0.7417186208595039,0.14690866052902418,3.7448201525262292,False
canakinumab,angioedema,1,63,4672,1149281,64,4673,5.8102475954550625,1.1505541896355944,29.34149249518055,True
canakinumab,pruritus,2,62,50374,1103579,64,50376,0.8763001121599222,0.2475258626504491,3.102309707555317,False
canakinumab,rash,9,55,68990,1084963,64,68999,2.6918847228672496,1.3525811696640802,5.35734455256813,True
canakinumab,eczema,0,64,3161,1150792,64,3161,2.821721364233198,0.17456583980360768,45.61093663186163,False
canakinumab,allergic_rhinitis,0,64,2766,1151187,64,2766,3.2257126725201997,0.19955254830947947,52.142768076909185,False
canakinumab,asthma,0,64,15499,1138454,64,15499,0.5693879597516399,0.03523131814677143,9.202115213502022,False
canakinumab,bronchospasm,0,64,1993,1151960,64,1993,4.47952162357118,0.2770902345533585,72.41725428680782,False
canakinumab,wheezing,0,64,9011,1144942,64,9011,0.9849107535719862,0.06094015693319639,15.918061936813213,False
infliximab,hypersensitivity,750,4786,24161,1124320,5536,24911,7.296235947992114,6.748770594714865,7.888112103034312,True
infliximab,anaphylaxis,56,5480,9640,1138841,5536,9696,1.2178449271944978,0.9363388615807631,1.583984524779274,False
infliximab,urticaria,234,5302,35383,1113098,5536,35617,1.3912173268282781,1.2201325211718526,1.5862913387541877,False
infliximab,angioedema,7,5529,4666,1143815,5536,4673,0.33246054177312423,0.1623522435961909,0.680803722743703,False
infliximab,pruritus,245,5291,50131,1098350,5536,50376,1.016489621052184,0.8941169155085505,1.1556107839869312,False
infliximab,rash,477,5059,68522,1079959,5536,68999,1.4874420172503666,1.3537903330974723,1.6342883388889895,False
infliximab,eczema,40,5496,3121,1145360,5536,3161,2.7036324675267336,1.980777969176535,3.690281613190353,True
infliximab,allergic_rhinitis,20,5516,2746,1145735,5536,2766,1.5502259585046723,1.0030968775090834,2.3957810818725913,False
infliximab,asthma,110,5426,15389,1133092,5536,15499,1.4992819953349508,1.241067153618284,1.8112206861506572,False
infliximab,bronchospasm,4,5532,1989,1146492,5536,1993,0.46872526766427497,0.18579474441591168,1.1825058735522047,False
infliximab,wheezing,157,5379,8854,1139627,5536,9011,3.7682310561626804,3.2116524687023507,4.421264576726187,True
adalimumab,hypersensitivity,710,6860,24201,1122246,7570,24911,4.802355311139057,4.44072865874148,5.193430697240922,True
adalimumab,anaphylaxis,44,7526,9652,1136795,7570,9696,0.6963209798657882,0.5182443096569667,0.935587517250675,False
adalimumab,urticaria,269,7301,35348,1111099,7570,35617,1.1601887307728096,1.0269020500953483,1.310775346964438,False
adalimumab,angioedema,9,7561,4664,1141783,7570,4673,0.3075348335098223,0.16265503019138497,0.5814617212306995,False
adalimumab,pruritus,373,7197,50003,1096444,7570,50376,1.1378766410977839,1.025072516413482,1.2630942978415667,False
adalimumab,rash,762,6808,68237,1078210,7570,68999,1.769574517742287,1.641304152212642,1.907869403499294,False
adalimumab,eczema,33,7537,3128,1143319,7570,3161,1.6242352565127058,1.1546991186199873,2.2846992138106152,False
adalimumab,allergic_rhinitis,26,7544,2740,1143707,7570,2766,1.4658872711324715,0.9992112585086967,2.150521697358859,False
adalimumab,asthma,113,7457,15386,1131061,7570,15499,1.1187910360967372,0.9288554731550438,1.347565276435077,False
adalimumab,bronchospasm,11,7559,1982,1144465,7570,1993,0.8782017098984458,0.4916606976252518,1.568639199744208,False
adalimumab,wheezing,183,7387,8828,1137619,7570,9011,3.2007273513416545,2.7605031452815547,3.711155191088061,True
etanercept,hypersensitivity,149,1656,24762,1127450,1805,24911,4.109157119407691,3.474209196138784,4.860148390242301,True
etanercept,anaphylaxis,23,1782,9673,1142539,1805,9696,1.5571337261155986,1.0360148057939533,2.3403772102933393,False
etanercept,urticaria,42,1763,35575,1116637,1805,35617,0.7564403067314196,0.5579051978439998,1.0256257512193352,False
etanercept,angioedema,1,1804,4672,1147540,1805,4673,0.20415173943151751,0.04116578464657408,1.0124411102748836,False
etanercept,pruritus,67,1738,50309,1101903,1805,50376,0.850398801050488,0.6667335418986365,1.0846583760713995,False
etanercept,rash,116,1689,68883,1083329,1805,68999,1.084458889464097,0.8986840930972063,1.3086368079405792,False
etanercept,eczema,5,1800,3156,1149056,1805,3161,1.1120009388947303,0.4811433811490759,2.5700157926928524,False
etanercept,allergic_rhinitis,4,1801,2762,1149450,1805,2766,1.0393605630300542,0.4117851517105885,2.623383518066695,False
etanercept,asthma,15,1790,15484,1136728,1805,15499,0.6355020197522292,0.38535814454625694,1.0480194147309234,False
etanercept,bronchospasm,0,1805,1993,1150219,1805,1993,0.15978536446719632,0.00998656744801807,2.5565703962658075,False
etanercept,wheezing,17,1788,8994,1143218,1805,9011,1.2436590136242207,0.7763007038341927,1.9923822489527476,False
certolizumab,hypersensitivity,346,5354,24565,1123752,5700,24911,2.960256741863569,2.653542059634445,3.3024236212618887,True
certolizumab,anaphylaxis,26,5674,9670,1138647,5700,9696,0.5498682468471022,0.3752235998722597,0.8057997657760302,False
certolizumab,urticaria,152,5548,35465,1112852,5700,35617,0.8624338065339654,0.7340145704476271,1.0133205805425298,False
certolizumab,angioedema,5,5695,4668,1143649,5700,4673,0.2365627796604643,0.10246993718756,0.5461304091389573,False
certolizumab,pruritus,199,5501,50177,1098140,5700,50376,0.7936164695853215,0.6888731149851652,0.914286081277294,False
certolizumab,rash,403,5297,68596,1079721,5700,68999,1.1988983590758064,1.0831651527898722,1.3269973389491974,False
certolizumab,eczema,27,5673,3134,1145183,5700,3161,1.7708771837535633,1.2155254559405455,2.579959131758687,False
certolizumab,allergic_rhinitis,14,5686,2752,1145565,5700,2766,1.0612447553933089,0.632996724635501,1.7792199975415794,False
certolizumab,asthma,75,5625,15424,1132893,5700,15499,0.9857432520597958,0.7850610158453519,1.23772514412158,False
certolizumab,bronchospasm,3,5697,1990,1146327,5700,1993,0.3537775252987011,0.12393539886507948,1.0098691621005322,False
certolizumab,wheezing,76,5624,8935,1139382,5700,9011,1.7343158759207336,1.3827088218883044,2.17533258619339,False
golimumab,hypersensitivity,280,340,24631,1128766,620,24911,37.75104699660663,32.216097163873144,44.23693975377451,True
golimumab,anaphylaxis,2,618,9694,1143703,620,9696,0.47685719507010305,0.13768116501133612,1.6515896308068259,False
golimumab,urticaria,66,554,35551,1117846,620,35617,3.77089410684486,2.9233729359474387,4.864121915539605,True
golimumab,angioedema,2,618,4671,1148726,620,4673,0.9939409676540982,0.28692759173801363,3.443093922048489,False
golimumab,pruritus,45,575,50331,1103066,620,50376,1.7327180135406857,1.2811029516794208,2.3435366459132694,False
golimumab,rash,233,387,68766,1084631,620,68999,9.504307315804324,8.078336698299958,11.18198719945177,True
golimumab,eczema,0,620,3161,1150236,620,3161,0.2931717889602226,0.018312134219003882,4.6935926099176815,False
golimumab,allergic_rhinitis,0,620,2766,1150631,620,2766,0.3351458169159536,0.020933266577445712,5.3657520760416135,False
golimumab,asthma,32,588,15467,1137930,620,15499,4.062866077486724,2.8529680422505805,5.785862483959271,True
golimumab,bronchospasm,0,620,1993,1151404,620,1993,0.46541449072903535,0.029067048916635797,7.4521031977413985,False
golimumab,wheezing,75,545,8936,1144461,620,9011,17.72498696501228,13.921048189854638,22.568355387119446,True
ruxolitinib,hypersensitivity,3,221,24908,1128885,224,24911,0.7161378591468703,0.24910865517519173,2.0587539720078616,False
ruxolitinib,anaphylaxis,0,224,9696,1144097,224,9696,0.26278567898756205,0.016384294661080483,4.2147870573270065,False
ruxolitinib,urticaria,0,224,35617,1118176,224,35617,0.06991986591011307,0.004359625646569782,1.1213778533335224,False
ruxolitinib,angioedema,0,224,4673,1149120,224,4673,0.5476170790003724,0.03414048778970846,8.783836571406551,False
ruxolitinib,pruritus,3,221,50373,1103420,224,50376,0.346125212159525,0.12040414420505241,0.9950044766602731,False
ruxolitinib,rash,3,221,68996,1084797,224,68999,0.24843680116662442,0.08642280334445482,0.7141731323838744,False
ruxolitinib,eczema,0,224,3161,1150632,224,3161,0.810582287523155,0.050531138862391925,13.002747605502298,False
ruxolitinib,allergic_rhinitis,0,224,2766,1151027,224,2766,0.9266349664716701,0.05776397694074694,14.864841490549384,False
ruxolitinib,asthma,1,223,15498,1138295,224,15499,0.49292299990927896,0.09894658681613303,2.4555984360639598,False
ruxolitinib,bronchospasm,0,224,1993,1151800,224,1993,1.2868107541045144,0.08020860313088053,20.644692118338494,False
ruxolitinib,wheezing,1,223,9010,1144783,224,9011,0.8526841727157243,0.1711535077023565,4.24805958207007,False
tofacitinib,hypersensitivity,398,992,24513,1128114,1390,24911,18.477604542071326,16.438675367496604,20.769427096799525,True
tofacitinib,anaphylaxis,52,1338,9644,1142983,1390,9696,4.648375157080766,3.5255296215164567,6.128835641911732,True
tofacitinib,urticaria,100,1290,35517,1117110,1390,35617,2.449411754310614,1.9988882412270772,3.00147743051005,True
tofacitinib,angioedema,0,1390,4673,1147954,1390,4673,0.08832455111672471,0.005520742537704192,1.4130755558137416,False
tofacitinib,pruritus,79,1311,50297,1102330,1390,50376,1.3285082580604988,1.0591780223427012,1.6663244086496816,False
tofacitinib,rash,384,1006,68615,1084012,1390,68999,6.035241078221139,5.364780907733519,6.789491593168548,True
tofacitinib,eczema,12,1378,3149,1149478,1390,3161,3.3095007394475626,1.8942457571093803,5.782140518618837,True
tofacitinib,allergic_rhinitis,12,1378,2754,1149873,1390,2766,3.785389134395637,2.166288582343059,6.614617745573912,True
tofacitinib,asthma,40,1350,15459,1137168,1390,15499,2.205920273774548,1.6131259860017184,3.016555617153385,True
tofacitinib,bronchospasm,0,1390,1993,1150634,1390,1993,0.20754876938687916,0.012970289534419002,3.321166544485897,False
tofacitinib,wheezing,99,1291,8912,1143715,1390,9011,9.886603886996594,8.054233530156761,12.135845832182337,True
baricitinib,hypersensitivity,1,65,24910,1129041,66,24911,1.0379523579912269,0.20569664268774043,5.237543420166662,False
baricitinib,anaphylaxis,0,66,9696,1144255,66,9696,0.8872711609374594,0.05491679664245836,14.335324730551605,False
baricitinib,urticaria,0,66,35617,1118334,66,35617,0.23607861515232595,0.014612616147478663,3.8140406871535104,False
baricitinib,angioedema,0,66,4673,1149278,66,4673,1.8489765121051265,0.11443186969998004,29.87554211322158,False
baricitinib,pruritus,5,61,50371,1103580,66,50376,1.9593260287446388,0.818925120915365,4.687801593661198,False
baricitinib,rash,4,62,68995,1084956,66,68999,1.132202361023545,0.4349590908603803,2.9471327608571984,False
baricitinib,eczema,0,66,3161,1150790,66,3161,2.7368528073306786,0.1693699505966439,44.224865524299446,False
baricitinib,allergic_rhinitis,0,66,2766,1151185,66,2766,3.1286933219548057,0.193612938160864,50.55820130528468,False
baricitinib,asthma,0,66,15499,1138452,66,15499,0.5522625396356468,0.03418267072334639,8.922471715368541,False
baricitinib,bronchospasm,0,66,1993,1151958,66,1993,4.344791625414175,0.26884274024188026,70.21656694648013,False
baricitinib,wheezing,0,66,9011,1144940,66,9011,0.9552877088131748,0.05912629560464921,15.43432743886914,False
upadacitinib,hypersensitivity,0,1,24911,1129105,1,24911,15.108223109808723,0.6154189358844648,370.89922364463985,False
upadacitinib,anaphylaxis,0,1,9696,1144320,1,9696,39.33792261812682,1.60233188086141,965.7625704094556,True
upadacitinib,urticaria,0,1,35617,1118399,1,35617,10.466760253620645,0.4263564961252593,256.95180254644794,False
upadacitinib,angioedema,0,1,4673,1149343,1,4673,81.97592810527442,3.3388622909461936,2012.6774341498037,True
upadacitinib,pruritus,0,1,50376,1103640,1,50376,7.302614645056061,0.2974686019603688,179.2733091921146,False
upadacitinib,rash,0,1,68999,1085017,1,68999,5.2416684178870865,0.21351760304833753,128.6783263338476,False
