tissue,cell_type,score,n_cells,n_donors,age_range,slope_per_year,se,p,q
Lung,lung multiciliated epithelial cell,t2_receptor_score,751,4,2.0,0.004320618076472716,0.07332388486780485,0.9530117568771679,0.9829904456347495
Lung,macrophage,aging_sasp_score,10028,4,2.0,-0.03955484588553134,0.02022973415523472,0.0505497314291145,0.13420870929497167
Lung,macrophage,th2_score,10028,4,2.0,0.007774741960474096,0.013074582899383867,0.552080455252682,0.7621641683134371
Lung,macrophage,alarmin_score,10028,4,2.0,-0.04263162791587509,0.00799909708016652,9.84536970434848e-08,1.0970554813416876e-06
Lung,macrophage,treg_score,10028,4,2.0,-0.016214254790945796,0.012495808810121923,0.1944332613621339,0.3885764670019254
Lung,macrophage,targets_score,10028,4,2.0,0.04497023699528714,0.009932286807212474,5.9634210400089045e-06,4.8561797069262845e-05
Lung,macrophage,t2_receptor_score,10028,4,2.0,-0.012939908873217621,0.007487755813553902,0.08396268378916605,0.21126094630822423
Lung,mature NK T cell,aging_sasp_score,104,4,2.0,-0.029635794023129224,0.007852500939597998,0.00016061339133644932,0.0008948460374459319
Lung,mature NK T cell,th2_score,104,4,2.0,0.005219989839779153,0.07454801352617393,0.9441762683338082,0.9829904456347495
Lung,mature NK T cell,alarmin_score,104,4,2.0,0.0006716811142598908,0.0015775556687366659,0.6702730298602937,0.829861846493697
Lung,mature NK T cell,treg_score,104,4,2.0,0.026843404157775447,0.03505021867713777,0.44376226265196916,0.6721059512010407
Lung,mature NK T cell,targets_score,104,4,2.0,0.07787455541093301,0.022752626230932705,0.0006201107154640917,0.002931432473102979
Lung,mature NK T cell,t2_receptor_score,104,4,2.0,0.03737590524959247,0.011116563980013186,0.0007732929008309605,0.00354804978028323
Lung,monocyte,aging_sasp_score,297,4,2.0,-0.07645901098039183,0.002540355036634388,5.182755155854697e-199,4.0425490215666634e-197
Lung,monocyte,th2_score,297,4,2.0,-0.09717548719641511,0.012658385102292672,1.631523686889466e-14,3.181471189434458e-13
Lung,monocyte,alarmin_score,297,4,2.0,0.003606245359586537,0.0015075943502464652,0.016754429695194518,0.055610447498943505
Lung,monocyte,treg_score,297,4,2.0,0.017468286140563498,0.00924230652746782,0.058753231177667876,0.15275840106193647
Lung,monocyte,targets_score,297,4,2.0,-0.05300699305911635,0.03188128840081297,0.09638522460500955,0.23493898497471077
Lung,monocyte,t2_receptor_score,297,4,2.0,-0.007775579941302477,0.0062157691816277436,0.21095486360993043,0.4055077182350044
Lung,natural killer cell,aging_sasp_score,625,4,2.0,-0.0062877841704463665,0.02050297043560076,0.7590894346125535,0.8837160582056593
Lung,natural killer cell,th2_score,625,4,2.0,-0.06325307956714828,0.02577182131767819,0.014113938327629008,0.048928319535780564
Lung,natural killer cell,alarmin_score,625,4,2.0,-0.003954527590768834,0.00501246486109385,0.43014782607152746,0.664386741258993
Lung,natural killer cell,treg_score,625,4,2.0,0.02063512303253978,0.056696994593043226,0.7158920295740886,0.8657298962291304
Lung,natural killer cell,targets_score,625,4,2.0,-0.10734475517822334,0.02432782250335392,1.0221798682752722e-05,7.496349975360712e-05
Lung,natural killer cell,t2_receptor_score,625,4,2.0,-0.028904385757571857,0.03432508075776975,0.3997444512354956,0.629900347401387
Lung,neutrophil,aging_sasp_score,228,4,2.0,-0.2718613868892963,0.05358070007538254,3.8980999612756624e-07,4.054023959726689e-06
Lung,neutrophil,th2_score,228,4,2.0,-0.08715326517481556,0.05501706264830365,0.11316791965858237,0.26349545472744557
Lung,neutrophil,alarmin_score,228,4,2.0,-0.008021424004358131,0.014082337473746872,0.5689430269915756,0.771783584440746
Lung,neutrophil,treg_score,228,4,2.0,0.007504007865997817,0.04350739104914896,0.863062838409614,0.9299938735649184
Lung,neutrophil,targets_score,228,4,2.0,-0.15602259137888827,0.10587989025869994,0.14059444824708747,0.3046213045353562
Lung,neutrophil,t2_receptor_score,228,4,2.0,-0.08535406913372401,0.033679847860216466,0.011267956979892317,0.04039610116759512
Lung,non-classical monocyte,aging_sasp_score,326,4,2.0,-0.06885550587536762,0.04246754631359709,0.10493881383640329,0.2511700969308004
Lung,non-classical monocyte,th2_score,326,4,2.0,0.04764981924591425,0.022013698752525443,0.030421928163016913,0.09685348558021711
Lung,non-classical monocyte,alarmin_score,326,4,2.0,0.006810801553959324,0.00251695876215342,0.006810628577112254,0.025913611171451502
Lung,non-classical monocyte,treg_score,326,4,2.0,0.0014500793814093394,0.028280194238781357,0.959106038999848,0.9829904456347495
Lung,non-classical monocyte,targets_score,326,4,2.0,0.08080757888677678,0.0019489470467671179,0.0,0.0
Lung,non-classical monocyte,t2_receptor_score,326,4,2.0,0.07711230682353802,0.050112082536725264,0.12385393778350706,0.2800175984670594
Lung,pericyte,aging_sasp_score,456,4,2.0,0.006536091901036029,0.03132178763941763,0.8347015122989556,0.9234033246352019
Lung,pericyte,th2_score,456,4,2.0,-0.004659465770600524,0.03102832338022298,0.8806319573229642,0.9357014784914088
Lung,pericyte,alarmin_score,456,4,2.0,0.05733402771381847,0.0465633088441475,0.21820565932182745,0.4101214801711456
Lung,pericyte,treg_score,456,4,2.0,0.021805689021905286,0.003125743662533499,3.0335646466410987e-12,4.7323608487601135e-11
Lung,pericyte,targets_score,456,4,2.0,0.04633851567511055,0.01911514554019879,0.01534308220076288,0.0520330613765002
Lung,pericyte,t2_receptor_score,456,4,2.0,-0.006979583667578242,0.04087513692588786,0.8644173824802125,0.9299938735649184
Lung,pulmonary alveolar type 1 cell,aging_sasp_score,1916,4,2.0,0.04111837084468505,0.003123352378470062,1.3987117956022336e-39,4.363980802278969e-38
Lung,pulmonary alveolar type 1 cell,th2_score,1916,4,2.0,-0.03912264912913446,0.031425170198929986,0.21315149291839974,0.4055077182350044
Lung,pulmonary alveolar type 1 cell,alarmin_score,1916,4,2.0,0.0017495075099910164,0.008380574378194238,0.8346375732725257,0.9234033246352019
Lung,pulmonary alveolar type 1 cell,treg_score,1916,4,2.0,0.007499006874578423,0.021563493022944663,0.7280174178885528,0.8657323326986414
Lung,pulmonary alveolar type 1 cell,targets_score,1916,4,2.0,-0.07765675275001449,0.022175908447705533,0.0004620359309548712,0.002252425163404997
Lung,pulmonary alveolar type 1 cell,t2_receptor_score,1916,4,2.0,-0.049755213683855506,0.02479775990652873,0.044809340160291436,0.12263608885974497
Lung,pulmonary alveolar type 2 cell,aging_sasp_score,7017,4,2.0,-0.12247222965348689,0.031161357445096766,8.485413487574601e-05,0.0004902683348376436
Lung,pulmonary alveolar type 2 cell,th2_score,7017,4,2.0,-0.006379533368445671,0.0031585135321070584,0.04340519715210207,0.12263608885974497
Lung,pulmonary alveolar type 2 cell,alarmin_score,7017,4,2.0,0.007489835179078554,0.006947142180345773,0.2809813472883691,0.49250663120208515
Lung,pulmonary alveolar type 2 cell,treg_score,7017,4,2.0,0.017750458706321845,0.003913775921598868,5.750002618978537e-06,4.8561797069262845e-05
Lung,pulmonary alveolar type 2 cell,targets_score,7017,4,2.0,-0.024781076216940177,0.021202942100224585,0.24250175445414224,0.4383275354659549
Lung,pulmonary alveolar type 2 cell,t2_receptor_score,7017,4,2.0,-0.009179318020741284,0.011104048393440357,0.40842748239390514,0.637146872534492
Lung,respiratory tract goblet cell,aging_sasp_score,627,4,2.0,-0.11841474506110984,0.0253343899381005,2.9528673311358767e-06,2.87904564785748e-05
Lung,respiratory tract goblet cell,th2_score,627,4,2.0,-0.00024892358564937916,0.010472920184704184,0.981037419986871,0.9873666936642057
Lung,respiratory tract goblet cell,alarmin_score,627,4,2.0,0.023552344125951235,0.0078800637993373,0.002800277747739393,0.01180657644992825
Lung,respiratory tract goblet cell,treg_score,627,4,2.0,0.0996796788946016,0.0056769484423907285,5.105524752057344e-69,2.654872871069819e-67
Lung,respiratory tract goblet cell,targets_score,627,4,2.0,-0.013695434034207705,0.006822178985548746,0.04469785828526377,0.12263608885974497
Lung,respiratory tract goblet cell,t2_receptor_score,627,4,2.0,-0.006714099134837224,0.0031178169364139575,0.03128241669609577,0.0976011400918188
Lung,vein endothelial cell,aging_sasp_score,813,4,2.0,-0.0782890534620013,0.06176880879747684,0.20499340855328974,0.39973714667891497
Lung,vein endothelial cell,th2_score,813,4,2.0,-0.013541695349353917,0.01376748243283498,0.32531223842208623,0.5576781230092906
Lung,vein endothelial cell,alarmin_score,813,4,2.0,0.014992557456456177,0.04801985146179812,0.7548765075354313,0.8837160582056593
Lung,vein endothelial cell,treg_score,813,4,2.0,-0.0002056495715669766,0.004567376795736154,0.9640867832186966,0.9829904456347495
Lung,vein endothelial cell,targets_score,813,4,2.0,-0.012441659483488503,0.0364062577419608,0.7325427430526965,0.8657323326986414
Lung,vein endothelial cell,t2_receptor_score,813,4,2.0,-0.06290869291530637,0.05404846348620033,0.24445189477909024,0.4383275354659549
Large_Intestine,B cell,aging_sasp_score,2069,5,24.0,0.000652498685407478,0.0006302427287705422,0.30052261606970276,0.37382081511109366
Large_Intestine,B cell,th2_score,2069,5,24.0,-0.005664022022921325,0.0018327012435869045,0.0019979820695827234,0.00473939932784739
Large_Intestine,B cell,alarmin_score,2069,5,24.0,0.00207154353926616,0.0017604852706252852,0.2393196856286508,0.312956511975928
Large_Intestine,B cell,treg_score,2069,5,24.0,0.00016830428560541508,0.0008365425111339199,0.8405497321336685,0.8748578844656549
Large_Intestine,B cell,targets_score,2069,5,24.0,-0.00236747580168059,0.0008612365652828271,0.0059790837539139925,0.012705552977067235
Large_Intestine,B cell,t2_receptor_score,2069,5,24.0,-0.00578643846506881,0.0013306285890856563,1.3697790374247346e-05,4.989909350618676e-05
Large_Intestine,BEST4+ enterocyte,aging_sasp_score,1090,4,24.0,-0.0017483438698619642,0.0006441887116601573,0.006647127374821376,0.013836877392485314
Large_Intestine,BEST4+ enterocyte,th2_score,1090,4,24.0,-0.0019330223120327095,0.0002535525393353449,2.4640178952304188e-14,1.4784107371382512e-13
Large_Intestine,BEST4+ enterocyte,alarmin_score,1090,4,24.0,-0.0016257236500572165,0.0003990957801054774,4.630836734596484e-05,0.00014760792091526292
Large_Intestine,BEST4+ enterocyte,treg_score,1090,4,24.0,-0.0006530526487694356,0.0002877663432655508,0.02324491810028166,0.045595800889014035
Large_Intestine,BEST4+ enterocyte,targets_score,1090,4,24.0,-0.0015149697896853533,0.0053235124013534954,0.7759652691562908,0.8265811186969212
Large_Intestine,BEST4+ enterocyte,t2_receptor_score,1090,4,24.0,-0.0030166781270881252,0.0008097731245735849,0.00019505413135583222,0.0005526533721748579
Large_Intestine,"CD4-positive, alpha-beta T cell",aging_sasp_score,4240,5,24.0,-0.0005663407147472523,0.0002929595873113446,0.05321524678356684,0.08579064209922067
Large_Intestine,"CD4-positive, alpha-beta T cell",th2_score,4240,5,24.0,-0.0033595874509227777,0.001002100517259717,0.000800721159078112,0.002149304163841248
Large_Intestine,"CD4-positive, alpha-beta T cell",alarmin_score,4240,5,24.0,0.0003030560897961609,0.0003092746912178065,0.327138962926635,0.3972401692680568
Large_Intestine,"CD4-positive, alpha-beta T cell",treg_score,4240,5,24.0,-0.014204527636419264,0.0003054043745509129,0.0,0.0
Large_Intestine,"CD4-positive, alpha-beta T cell",targets_score,4240,5,24.0,-0.013952361433373717,0.0011001488442174841,7.417277332960991e-37,6.304685733016843e-36
Large_Intestine,"CD4-positive, alpha-beta T cell",t2_receptor_score,4240,5,24.0,-0.005183689781000986,0.0016963433846644649,0.0022445930823711494,0.005203374872769483
Large_Intestine,"CD8-positive, alpha-beta T cell",aging_sasp_score,2962,5,24.0,-0.0021135764225443244,0.00035082331443113163,1.6950959422020052e-09,7.859081186572933e-09
Large_Intestine,"CD8-positive, alpha-beta T cell",th2_score,2962,5,24.0,0.00013200577158182044,0.0003545535194630829,0.7096579580290963,0.7783345346125572
Large_Intestine,"CD8-positive, alpha-beta T cell",alarmin_score,2962,5,24.0,0.00020498722360529962,2.17821693508921e-05,4.924643149783578e-21,3.3487573418528333e-20
