method,n_snps,beta,se,p,or,or_lower,or_upper,outcome,exposure,trait,source,n_harmonised,steiger_applied,egger_intercept,egger_intercept_p,cochran_Q,cochran_Q_p,presso_outliers_removed
MR_Egger,121,0.02028022109870209,0.006082867478792618,0.0008560964683081984,1.0204872620259728,1.008392824764041,1.0327267572544931,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct,panukbb,168,True,0.00017461098037247576,0.8592602255010934,165.87548629076153,0.0035461184677099133,
weighted_median,121,0.0208292384633864,0.001948435389281468,0.0,1.0210476810790834,1.0171558041639115,1.0249544492290699,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct,panukbb,168,True,,,,,
IVW_PRESSO_corrected,121,0.030662100817047167,0.004714316573898381,7.81914533121153e-11,1.031137024656271,1.0216531394932904,1.040708947602632,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct,panukbb,168,True,,,,,3.0
IVW_fixed,120,-0.008225994387875317,0.007018657599736823,0.24118975254126074,0.9918077465230588,0.9782572924977074,1.0055458963680082,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct_astle,astle,173,True,,,,,
IVW_random,120,-0.008225994387875317,0.007018657599736823,0.24118975254126074,0.9918077465230588,0.9782572924977074,1.0055458963680082,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct_astle,astle,173,True,,,,,
MR_Egger,120,0.0007098315080289538,0.00440294740715957,0.8719222174582302,1.0007100834980338,0.9921113347241869,1.009383358666135,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct_astle,astle,173,True,0.0031256303141782276,5.2334312352085824e-05,40.903792624268576,0.9999999999982064,
weighted_median,120,-0.010022153553854857,0.007709511362095675,0.1936103592818066,0.9900279008698036,0.9751804035446195,1.005101457061655,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct_astle,astle,173,True,,,,,
IVW_PRESSO_corrected,120,-0.010022153553854857,0.007709511362095675,0.1936103592818066,0.9900279008698036,0.9751804035446195,1.005101457061655,ALLERG_ASTHMA,ALLERG_ASTHMA,eosinophil_pct_astle,astle,173,True,,,,,0.0
IVW_fixed,138,0.03726599302351701,0.00562790367652751,3.552180771748681e-11,1.0379690766550853,1.0265824767789264,1.049481973891342,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc_astle,astle,173,True,,,,,
IVW_random,138,0.03726599302351701,0.00562790367652751,3.552180771748681e-11,1.0379690766550853,1.0265824767789264,1.049481973891342,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc_astle,astle,173,True,,,,,
MR_Egger,138,0.03673853849242249,0.004069415044553123,0.0,1.0374217395228824,1.0291801197321804,1.0457293577675693,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc_astle,astle,173,True,-0.00028440734246888537,0.630582157294738,66.07730886373164,0.9999999535614684,
weighted_median,138,0.04249978846883983,0.002272313855927558,0.0,1.0434158356586924,1.0387790709927847,1.048073297301626,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc_astle,astle,173,True,,,,,
IVW_PRESSO_corrected,138,0.04313437134689369,0.005728736399758577,5.084821452783217e-14,1.0440781796165324,1.0324205027807982,1.0558674902476441,ALLERG_ASTHMA,ALLERG_ASTHMA,wbc_astle,astle,173,True,,,,,1.0
IVW_fixed,19,-0.014339967884148035,0.008594661375320773,0.09522169581957907,0.985762359746389,0.9692957479846976,1.0025087099712626,ALLERG_RHINITIS,ALLERG_RHINITIS,crp,panukbb,21,True,,,,,
IVW_random,19,-0.014339967884148035,0.009999931642034615,0.1515703819889278,0.985762359746389,0.9666296612223706,1.0052737556842113,ALLERG_RHINITIS,ALLERG_RHINITIS,crp,panukbb,21,True,,,,,
MR_Egger,19,-0.013256144204921723,0.00931951616298344,0.1549081577840863,0.9868313315177902,0.9689692552873334,1.0050226790491905,ALLERG_RHINITIS,ALLERG_RHINITIS,crp,panukbb,21,True,0.0018327519807702036,0.06800149624461496,24.367390703106345,0.14335611803374304,
weighted_median,19,-0.0042080754463069865,0.015087847406257328,0.7803177635762562,0.9958007660968659,0.9667839259140278,1.025688511340936,ALLERG_RHINITIS,ALLERG_RHINITIS,crp,panukbb,21,True,,,,,
IVW_PRESSO_corrected,19,-0.0042080754463069865,0.015087847406257328,0.7803177635762562,0.9958007660968659,0.9667839259140278,1.025688511340936,ALLERG_RHINITIS,ALLERG_RHINITIS,crp,panukbb,21,True,,,,,0.0
IVW_fixed,15,0.04908949832473573,0.008045100008873256,1.0488814261577772e-09,1.0503143479082546,1.0338824679929046,1.0670073858235816,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc,panukbb,21,True,,,,,
IVW_random,15,0.04908949832473573,0.008045100008873256,1.0488814261577772e-09,1.0503143479082546,1.0338824679929046,1.0670073858235816,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc,panukbb,21,True,,,,,
MR_Egger,15,0.04928616634092112,0.006773338809595157,3.426148253993233e-13,1.0505209314609516,1.0366666508586213,1.0645603642439265,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc,panukbb,21,True,0.000546401670904797,0.4789058706831352,9.576333428621217,0.7924564010298133,
weighted_median,15,0.057300468115688674,0.009180947067483179,4.3412340389181736e-10,1.0589739505050986,1.0400885064243839,1.0782023077089975,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc,panukbb,21,True,,,,,
IVW_PRESSO_corrected,15,0.057300468115688674,0.009180947067483179,4.3412340389181736e-10,1.0589739505050986,1.0400885064243839,1.0782023077089975,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc,panukbb,21,True,,,,,0.0
IVW_fixed,15,-0.05054202702444402,0.00987958402362357,3.1240540221411095e-07,0.9507139721533591,0.9324814581244106,0.9693029807430513,ALLERG_RHINITIS,ALLERG_RHINITIS,neutrophil_pct,panukbb,21,True,,,,,
IVW_random,15,-0.05054202702444402,0.014711657984055387,0.0005914427650621779,0.9507139721533591,0.9236917409677013,0.9785267278677802,ALLERG_RHINITIS,ALLERG_RHINITIS,neutrophil_pct,panukbb,21,True,,,,,
MR_Egger,15,-0.047624325576427096,0.014123426827087684,0.0007462194838494529,0.9534919223304683,0.9274594156611027,0.9802551255586774,ALLERG_RHINITIS,ALLERG_RHINITIS,neutrophil_pct,panukbb,21,True,0.0023603092401931905,0.1408795728973207,31.043734260079873,0.005465888756649662,
weighted_median,15,-0.07089368327900437,0.031654648453705865,0.025117041071586632,0.9315609273661531,0.8755204282867971,0.9911884787124776,ALLERG_RHINITIS,ALLERG_RHINITIS,neutrophil_pct,panukbb,21,True,,,,,
IVW_PRESSO_corrected,15,-0.07089368327900437,0.031654648453705865,0.025117041071586632,0.9315609273661531,0.8755204282867971,0.9911884787124776,ALLERG_RHINITIS,ALLERG_RHINITIS,neutrophil_pct,panukbb,21,True,,,,,0.0
IVW_fixed,16,-0.008954388179253944,0.010005945177478512,0.37083692213019726,0.9910855829599071,0.9718381111313193,1.0107142552863444,ALLERG_RHINITIS,ALLERG_RHINITIS,lymphocyte_pct,panukbb,21,True,,,,,
IVW_random,16,-0.008954388179253944,0.015347039841410304,0.5595834877353605,0.9910855829599071,0.9617174463534102,1.021350539574202,ALLERG_RHINITIS,ALLERG_RHINITIS,lymphocyte_pct,panukbb,21,True,,,,,
MR_Egger,16,-0.00841738659384378,0.015888536554070597,0.5962663196375262,0.9916179404148394,0.9612133193253389,1.0229843053389394,ALLERG_RHINITIS,ALLERG_RHINITIS,lymphocyte_pct,panukbb,21,True,-0.0005591253856558518,0.7294149902694224,35.287773895837404,0.002237233806241079,
weighted_median,16,-0.027332759783291093,0.03981017877894634,0.4923492207674165,0.9730373999322605,0.8999998249210374,1.0520021842782055,ALLERG_RHINITIS,ALLERG_RHINITIS,lymphocyte_pct,panukbb,21,True,,,,,
IVW_PRESSO_corrected,16,-0.027332759783291093,0.03981017877894634,0.4923492207674165,0.9730373999322605,0.8999998249210374,1.0520021842782055,ALLERG_RHINITIS,ALLERG_RHINITIS,lymphocyte_pct,panukbb,21,True,,,,,0.0
IVW_fixed,20,-0.054313979631962446,0.008276610426650143,5.296785232644652e-11,0.947134678813251,0.9318940639299058,0.9626245455708305,ALLERG_RHINITIS,ALLERG_RHINITIS,monocyte_pct,panukbb,21,True,,,,,
IVW_random,20,-0.054313979631962446,0.011342518454790137,1.6800820803464234e-06,0.947134678813251,0.9263109368134531,0.9684265446509966,ALLERG_RHINITIS,ALLERG_RHINITIS,monocyte_pct,panukbb,21,True,,,,,
MR_Egger,20,-0.054297815994030496,0.011643916647992277,3.1134240825458903e-06,0.9471499880789985,0.9257788528965394,0.9690144650758207,ALLERG_RHINITIS,ALLERG_RHINITIS,monocyte_pct,panukbb,21,True,0.0002027175982874576,0.8638357284352817,35.68350962235902,0.011540543170575623,
weighted_median,20,-0.06142045535854835,0.010078402225487794,1.0994130050789863e-09,0.9404277487523854,0.9220331296272443,0.9591893416899491,ALLERG_RHINITIS,ALLERG_RHINITIS,monocyte_pct,panukbb,21,True,,,,,
IVW_PRESSO_corrected,20,-0.05295141133264671,0.009176781569710041,7.920073707978759e-09,0.9484260941227629,0.9315197347176737,0.9656392908150091,ALLERG_RHINITIS,ALLERG_RHINITIS,monocyte_pct,panukbb,21,True,,,,,2.0
IVW_fixed,8,-0.008888646723990116,0.0172126811892559,0.605574329155008,0.9911507405101746,0.9582701932871273,1.0251594981202927,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct,panukbb,21,True,,,,,
IVW_random,8,-0.008888646723990116,0.02851564118577283,0.7552599623283249,0.9911507405101746,0.9372742937580003,1.0481241158071417,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct,panukbb,21,True,,,,,
MR_Egger,8,-0.006073677264666639,0.027614449867105963,0.8259135074210286,0.9939447302271814,0.9415780836034778,1.0492237913668612,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct,panukbb,21,True,0.0036931887164030615,0.26431373839096645,19.211765318611775,0.0075492145551486756,
weighted_median,8,-0.031109104436799297,0.08485356933249763,0.7139017065224655,0.9693698047596361,0.8208440816215167,1.1447701694132593,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct,panukbb,21,True,,,,,
IVW_PRESSO_corrected,8,-0.006870726273578723,0.017226881353754518,0.6900129445514211,0.9931528232013196,0.9601791342725725,1.027258867669529,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct,panukbb,21,True,,,,,1.0
IVW_fixed,4,-0.0222297853024585,0.06055460214319813,0.7135420763915716,0.9780154756471146,0.8685615682346257,1.101262484534507,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct_astle,astle,22,True,,,,,
IVW_random,4,-0.0222297853024585,0.06055460214319813,0.7135420763915716,0.9780154756471146,0.8685615682346257,1.101262484534507,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct_astle,astle,22,True,,,,,
MR_Egger,4,-0.11743842204410591,0.18908982698194063,0.5345521640921098,0.8891952648874399,0.6138194294515575,1.2881120752477644,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct_astle,astle,22,True,0.006691703701954793,0.659324654844308,0.762342077215775,0.8584514489638477,
weighted_median,4,-0.02250055045225157,0.1356944311062768,0.8683003468699362,0.9777506989881145,0.7494155556086207,1.2756559724669123,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct_astle,astle,22,True,,,,,
IVW_PRESSO_corrected,4,-0.02250055045225157,0.1356944311062768,0.8683003468699362,0.9777506989881145,0.7494155556086207,1.2756559724669123,ALLERG_RHINITIS,ALLERG_RHINITIS,eosinophil_pct_astle,astle,22,True,,,,,0.0
IVW_fixed,10,0.036458899959508,0.01815051485109354,0.04456918803766419,1.0371316769878496,1.0008842815980006,1.0746917852424172,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc_astle,astle,22,True,,,,,
IVW_random,10,0.036458899959508,0.01815051485109354,0.04456918803766419,1.0371316769878496,1.0008842815980006,1.0746917852424172,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc_astle,astle,22,True,,,,,
MR_Egger,10,0.04142751057496383,0.012367947334197046,0.0008093225379697255,1.0422976035589193,1.0173348685371228,1.067872858763637,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc_astle,astle,22,True,-0.0015972235897253441,0.23147029171466205,4.060670457674268,0.9073741145962222,
weighted_median,10,0.04145765502525387,0.02431260886267312,0.08815870673067838,1.0423290235207836,0.9938240914632328,1.093201304542922,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc_astle,astle,22,True,,,,,
IVW_PRESSO_corrected,10,0.04145765502525387,0.02431260886267312,0.08815870673067838,1.0423290235207836,0.9938240914632328,1.093201304542922,ALLERG_RHINITIS,ALLERG_RHINITIS,wbc_astle,astle,22,True,,,,,0.0
IVW_fixed,159,0.024378219818360775,0.0032147837571088692,3.375077994860476e-14,1.0246777980603234,1.0182416260564475,1.0311546522647728,L12_ATOPIC,L12_ATOPIC,crp,panukbb,178,True,,,,,
IVW_random,159,0.024378219818360775,0.004762402424356948,3.073372027984078e-07,1.0246777980603234,1.015157640291803,1.034287235956718,L12_ATOPIC,L12_ATOPIC,crp,panukbb,178,True,,,,,
MR_Egger,159,0.021577263324423973,0.004908381565531733,1.1026207549891254e-05,1.0218117358591938,1.012028604170037,1.0316894396436975,L12_ATOPIC,L12_ATOPIC,crp,panukbb,178,True,0.0012892136652831957,0.041840831301768376,346.7414312384497,3.3306690738754696e-16,
weighted_median,159,0.018434233570942517,0.004377889220764431,2.5451488391503574e-05,1.0186051929405202,1.0099022769714507,1.0273831070040507,L12_ATOPIC,L12_ATOPIC,crp,panukbb,178,True,,,,,
IVW_PRESSO_corrected,159,0.021113719493419805,0.003279806169974176,1.214652822767448e-10,1.021338191095445,1.0147936581868244,1.027924930526196,L12_ATOPIC,L12_ATOPIC,crp,panukbb,178,True,,,,,3.0
IVW_fixed,151,0.023060710589500343,0.0027381570831941314,0.0,1.023328664547853,1.0178513875091504,1.0288354159912936,L12_ATOPIC,L12_ATOPIC,wbc,panukbb,178,True,,,,,
IVW_random,151,0.023060710589500343,0.004068274590234878,1.4411588145080145e-08,1.023328664547853,1.0152012740510126,1.0315211204440153,L12_ATOPIC,L12_ATOPIC,wbc,panukbb,178,True,,,,,
MR_Egger,151,0.022712039255825045,0.0043664415787344766,1.976880843468365e-07,1.02297192137427,1.0142544532337257,1.0317643157333183,L12_ATOPIC,L12_ATOPIC,wbc,panukbb,178,True,0.00012443729326656536,0.8225814207869347,331.12735264323896,1.1102230246251565e-15,
weighted_median,151,0.022933210319944643,0.004293731993624176,9.238921605536632e-08,1.023198198184704,1.014623386253653,1.031845477792579,L12_ATOPIC,L12_ATOPIC,wbc,panukbb,178,True,,,,,
IVW_PRESSO_corrected,151,0.018191380551742353,0.0027954920879324314,7.64635021965887e-11,1.0183578516290495,1.0127933597521288,1.0239529159515242,L12_ATOPIC,L12_ATOPIC,wbc,panukbb,178,True,,,,,3.0
IVW_fixed,163,-0.0004993395853690661,0.0030988909379545126,0.8719871267407546,0.9995007850638934,0.9934483901744701,1.0055900530151283,L12_ATOPIC,L12_ATOPIC,neutrophil_pct,panukbb,178,True,,,,,
IVW_random,163,-0.0004993395853690661,0.0048119862981463035,0.9173519128316767,0.9995007850638934,0.9901183151619029,1.0089721642811786,L12_ATOPIC,L12_ATOPIC,neutrophil_pct,panukbb,178,True,,,,,
MR_Egger,163,0.0009792495284636836,0.004945676162317829,0.8430441701761615,1.0009797291498268,0.9913235834994485,1.0107299320287157,L12_ATOPIC,L12_ATOPIC,neutrophil_pct,panukbb,178,True,-0.0007912464189735466,0.21106363907440914,390.617048921626,0.0,
weighted_median,163,0.0010794174127302858,0.004636620326497161,0.8159146695145656,1.0010800001933748,0.9920236230451694,1.0102190547750052,L12_ATOPIC,L12_ATOPIC,neutrophil_pct,panukbb,178,True,,,,,
IVW_PRESSO_corrected,163,-0.002583412071891902,0.003225276806650106,0.42313786540307374,0.9974199220653066,0.9911345770657757,1.0037451259928551,L12_ATOPIC,L12_ATOPIC,neutrophil_pct,panukbb,178,True,,,,,5.0
IVW_fixed,160,-0.016520407574854064,0.003101985259665735,1.0053562338185884e-07,0.9836153059828638,0.9776531749490024,0.9896137965431666,L12_ATOPIC,L12_ATOPIC,lymphocyte_pct,panukbb,178,True,,,,,
