outcome,model,exposure,exposure_label,n_snps,beta,se,ci_lo,ci_hi,p,or,resid_Q,resid_Q_df,resid_Q_p,marginal_mean_F,cond_QA,cond_QA_over_k,cond_QA_chi2crit95,cond_strong,univ_frailty_beta_same_snps,univ_frailty_se_same_snps,univ_frailty_p_same_snps
ALLERG_RHINITIS,MVMR_IVW,bmi,"BMI (Pan-UKBB, per SD)",67,0.38581268700334714,0.28036433780631187,-0.16370141509702407,0.9353267891037184,0.16878700798147328,1.4708091433424666,86.18533537837449,63,0.027847298608672633,14.5398867988939,320.23556036478567,4.77963522932516,87.10807219532191,True,,,
ALLERG_RHINITIS,MVMR_IVW_LD_GLS,bmi,"BMI (Pan-UKBB, per SD)",67,0.3800733240284173,0.27859120709013596,-0.16596544186824913,0.9261120899250838,0.17248294527614227,1.4623918139620335,88.43445909396064,63,0.018995742774956192,14.5398867988939,320.23556036478567,4.77963522932516,87.10807219532191,True,,,
ALLERG_RHINITIS,MVMR_IVW,smkinit,Smoking initiation (GSCAN),67,-0.8759749806879366,0.4990194075329683,-1.8540530194525544,0.1021030580766813,0.07919217509450771,0.41645578532729133,86.18533537837449,63,0.027847298608672633,3.252624222001085,166.4956282416056,2.4850093767403822,87.10807219532191,True,,,
ALLERG_RHINITIS,MVMR_IVW_LD_GLS,smkinit,Smoking initiation (GSCAN),67,-0.8653377398235155,0.47587237720077086,-1.7980475991370264,0.06737211948999544,0.06899935671577029,0.4209093707618365,88.43445909396064,63,0.018995742774956192,3.252624222001085,166.4956282416056,2.4850093767403822,87.10807219532191,True,,,
ALLERG_RHINITIS,MVMR_IVW,edu,Educational attainment (Okbay 2016),67,0.04324119399026635,0.5024926802494045,-0.9416444592985664,1.0281268472790992,0.9314239827782425,1.0441897167648073,86.18533537837449,63,0.027847298608672633,7.585747479413188,95.85019592430498,1.4305999391687312,87.10807219532191,True,,,
ALLERG_RHINITIS,MVMR_IVW_LD_GLS,edu,Educational attainment (Okbay 2016),67,-0.34161827679771556,0.4945359680809794,-1.3109087742364351,0.6276722206410039,0.48970034806645435,0.7106194128605446,88.43445909396064,63,0.018995742774956192,7.585747479413188,95.85019592430498,1.4305999391687312,87.10807219532191,True,,,
L12_ATOPIC,MVMR_IVW,frailty,Frailty index (per SD),68,0.5812209882708375,0.10868199088484456,0.3682042861365421,0.7942376904051328,8.897802805662991e-08,1.788220494591375,233.3680647036191,64,0.0,44.96684770307257,648.418333977826,9.53556373496803,88.25016442187412,True,0.47017923849209114,0.057470227167699034,2.220446049250313e-16
L12_ATOPIC,MVMR_IVW_LD_GLS,frailty,Frailty index (per SD),68,0.5839787689425111,0.11729092539721274,0.35408855516397414,0.8138689827210481,6.39495415732938e-07,1.7931588207885087,236.41169466699267,64,0.0,44.96684770307257,648.418333977826,9.53556373496803,88.25016442187412,True,0.47017923849209114,0.057470227167699034,2.220446049250313e-16
L12_ATOPIC,MVMR_IVW,bmi,"BMI (Pan-UKBB, per SD)",68,-0.2974073653603955,0.20088339475081354,-0.69113881907199,0.09632408835119899,0.1387405252337841,0.7427413836144737,233.3680647036191,64,0.0,14.367060774493734,323.91086631619237,4.763395092885182,88.25016442187412,True,,,
L12_ATOPIC,MVMR_IVW_LD_GLS,bmi,"BMI (Pan-UKBB, per SD)",68,-0.2294328747027244,0.19943081281018046,-0.6203172678106781,0.1614515184052293,0.24996333225340095,0.7949843304063665,236.41169466699267,64,0.0,14.367060774493734,323.91086631619237,4.763395092885182,88.25016442187412,True,,,
L12_ATOPIC,MVMR_IVW,smkinit,Smoking initiation (GSCAN),68,-1.4784710462385402,0.3593450930342071,-2.182787428585586,-0.7741546638914943,3.882739874905283e-05,0.2279860020936412,233.3680647036191,64,0.0,3.2056334354054563,168.55214908606604,2.478708074795089,88.25016442187412,True,,,
L12_ATOPIC,MVMR_IVW_LD_GLS,smkinit,Smoking initiation (GSCAN),68,-1.1231425586554318,0.3441922759789876,-1.7977594195742475,-0.4485256977366161,0.0011019075021860836,0.3252560506605928,236.41169466699267,64,0.0,3.2056334354054563,168.55214908606604,2.478708074795089,88.25016442187412,True,,,
L12_ATOPIC,MVMR_IVW,edu,Educational attainment (Okbay 2016),68,-0.3746570614185022,0.3546399097135202,-1.0697512844570018,0.32043716161999747,0.290765597333805,0.6875250172209104,233.3680647036191,64,0.0,7.671904787722472,98.97817941746958,1.4555614620216115,88.25016442187412,True,,,
L12_ATOPIC,MVMR_IVW_LD_GLS,edu,Educational attainment (Okbay 2016),68,-0.38319872662043947,0.3476250080763255,-1.0645437424500375,0.2981462892091585,0.27031666698593515,0.681677418375021,236.41169466699267,64,0.0,7.671904787722472,98.97817941746958,1.4555614620216115,88.25016442187412,True,,,
