prism_name,target_gene,chembl_id,chembl_name,matrix_row_id,prism_id,name,dose,mean_lfc,median_lfc,std_lfc,n_cell_lines,target_median_gene_effect,abs_essentiality,senolytic_proxy
upadacitinib,JAK3,CHEMBL3622821,UPADACITINIB,BRD:BRD-K00003286-001-01-9,BRD-K00003286-001-01-9,upadacitinib,2.5,-0.13781711694196874,-0.0379989393880344,0.7385437941023599,895,-0.11882528663470629,0.11882528663470629,0.12318019496726453
PF-06260414,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004644-001-01-9,BRD-K00004644-001-01-9,PF-06260414,2.5,-0.2615437297061888,-0.205112272325678,0.5381039881771753,895,-1.1977861924570643,1.1977861924570643,0.11900326364949546
PF-05175157,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00002423-001-02-9,BRD-K00002423-001-02-9,PF-05175157,2.5,-0.11503202231525991,-0.0710850342895288,0.510508686088291,895,0.006465410950045,0.006465410950045,0.11429307064479875
PF-06751979,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004598-001-01-9,BRD-K00004598-001-01-9,PF-06751979,2.5,-0.11233043800264174,-0.0698962528926025,0.46738919503382215,895,0.006465410950045,0.006465410950045,0.1116088409800475
JNJ-27141491,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K41895652-001-02-9,BRD-K41895652-001-02-9,JNJ-27141491,2.5,-0.12406349970276162,-0.115544049934895,0.5590171678441826,893,-0.14711551734479106,0.14711551734479106,0.10815257733582866
siremadlin,TP53,CHEMBL3653256,SIREMADLIN,BRD:BRD-K65480835-001-02-9,BRD-K65480835-001-02-9,siremadlin,2.5,-0.12530383836843362,-0.0842487996315632,0.45231878820069676,895,0.18689671671688554,0.18689671671688554,0.10557265565199365
JNJ-54175446,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K00004575-001-01-9,BRD-K00004575-001-01-9,JNJ-54175446,2.5,-0.1130890209870653,-0.0333568829187775,0.5674190261197365,895,-0.14711551734479106,0.14711551734479106,0.09858555592450755
HP-228,SRC,CHEMBL3545085,XL-228,BRD:BRD-K00004723-001-01-9,BRD-K00004723-001-01-9,HP-228,2.5,-0.10094583829069147,-0.0755331437347745,0.4473484047598384,895,-0.14711551734479106,0.14711551734479106,0.08799971473173782
PF-06305591,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004712-001-01-9,BRD-K00004712-001-01-9,PF-06305591,2.5,-0.18410447500839067,-0.183340093266558,0.42533012769934786,890,-1.1977861924570643,1.1977861924570643,0.08376814616464896
R-121919,JAK3,CHEMBL3545382,R-348,BRD:BRD-K00004717-001-01-9,BRD-K00004717-001-01-9,R-121919,2.5,-0.09291208597243295,-0.08457886205734749,0.45107824536716695,890,-0.11882528663470629,0.11882528663470629,0.08304432075529994
PF-06650833,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003296-001-01-9,BRD-K00003296-001-01-9,PF-06650833,2.5,-0.17390453018466076,-0.158010346964836,0.48547038120829894,895,-1.1977861924570643,1.1977861924570643,0.07912713747202146
R-1487,JAK3,CHEMBL3545382,R-348,BRD:BRD-K00004710-001-01-9,BRD-K00004710-001-01-9,R-1487,2.5,-0.08345040198091166,-0.0503179223714293,0.5066955052294484,895,-0.11882528663470629,0.11882528663470629,0.07458751869286094
PD-173212,SRC,CHEMBL3545196,PD-0166285,BRD:BRD-K04426574-001-03-9,BRD-K04426574-001-03-9,PD-173212,2.5,-0.08126535227696276,-0.0429554388634944,0.47738843840669337,893,-0.14711551734479106,0.14711551734479106,0.07084321591696911
PF-06412562,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004652-001-01-9,BRD-K00004652-001-01-9,PF-06412562,2.5,-0.1461069103710159,-0.109453136490365,0.4420926042515953,895,-1.1977861924570643,1.1977861924570643,0.06647912834854622
PF-06840003,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003400-001-01-9,BRD-K00003400-001-01-9,PF-06840003,2.5,-0.14236211844180627,-0.131335391127593,0.41055967636430085,895,-1.1977861924570643,1.1977861924570643,0.0647752356122728
AT-1015,JAK3,CHEMBL495727,AT-9283,BRD:BRD-K06496777-003-02-9,BRD-K06496777-003-02-9,AT-1015,2.5,-0.07205286318240718,-0.0371509898243687,0.4934762054103364,893,-0.11882528663470629,0.11882528663470629,0.06440046005675618
PF-02413873,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004632-001-01-9,BRD-K00004632-001-01-9,PF-02413873,2.5,-0.061389754227901945,-0.0095346451599804,0.4764394396183848,895,0.006465410950045,0.006465410950045,0.06099539394001983
R-268712,JAK3,CHEMBL3545382,R-348,BRD:BRD-K83904070-001-02-9,BRD-K83904070-001-02-9,R-268712,2.5,-0.06004974739994636,-0.0393703821157214,0.546545916129533,895,-0.11882528663470629,0.11882528663470629,0.05367213998225663
SF-11,MTOR,CHEMBL2326966,SF-1126,BRD:BRD-K42629487-001-09-9,BRD-K42629487-001-09-9,SF-11,2.5,-0.11757973942367832,-0.116983644116046,0.48619599704019995,893,-1.1977861924570643,1.1977861924570643,0.053499171041850715
PF-05175157,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00002423-001-02-9,BRD-K00002423-001-02-9,PF-05175157,2.5,-0.11503202231525991,-0.0710850342895288,0.510508686088291,895,-1.1977861924570643,1.1977861924570643,0.05233995131558147
PF-06751979,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004598-001-01-9,BRD-K00004598-001-01-9,PF-06751979,2.5,-0.11233043800264174,-0.0698962528926025,0.46738919503382215,895,-1.1977861924570643,1.1977861924570643,0.05111072150155763
PF-02413873,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004632-001-01-9,BRD-K00004632-001-01-9,PF-02413873,2.5,-0.061389754227901945,-0.0095346451599804,0.4764394396183848,895,-1.1977861924570643,1.1977861924570643,0.027932541590531105
PF-04885614,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K92435527-001-03-9,BRD-K92435527-001-03-9,PF-04885614,2.5,-0.026142718465618633,0.0044436689523181,0.5130653094581373,895,0.006465410950045,0.006465410950045,0.025974780833194676
PF-05089771,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00003145-001-01-9,BRD-K00003145-001-01-9,PF-05089771,2.5,-0.024986032474015544,-0.0297131242244597,0.42354108898145654,895,0.006465410950045,0.006465410950045,0.024825525251215712
JTE-013,RORC,CHEMBL3545357,JTE-151,BRD:BRD-K43330982-001-04-9,BRD-K43330982-001-04-9,JTE-013,2.5,-0.027188442641880934,0.0102295024589192,0.47231584035910257,893,-0.18115369533826875,0.18115369533826875,0.02301854767011881
PF-06273340,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004638-001-01-9,BRD-K00004638-001-01-9,PF-06273340,2.5,-0.020436547370198118,0.0026432666757671,0.433470070491343,895,0.006465410950045,0.006465410950045,0.02030526548439176
JNJ-10397049,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K61721596-001-01-0,BRD-K61721596-001-01-0,JNJ-10397049,2.5,-0.020702970319370628,0.0051141537803447,0.6639710600779654,895,-0.14711551734479106,0.14711551734479106,0.01804785133348335
edonerpic-maleate,MTOR,CHEMBL1334033,PERHEXILINE MALEATE,BRD:BRD-K00003259-050-01-9,BRD-K00003259-050-01-9,edonerpic-maleate,2.5,-0.03842793196250641,-0.0389659293784727,0.4257301324531601,895,-1.1977861924570643,1.1977861924570643,0.017484836375072976
dapansutrile,NLRP3,CHEMBL3989943,DAPANSUTRILE,BRD:BRD-K00004659-001-01-9,BRD-K00004659-001-01-9,dapansutrile,2.5,-0.017832841067646037,0.0509953076512534,0.4745734210547432,895,0.10188945738234675,0.10188945738234675,0.01618387484168313
PF-04885614,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K92435527-001-03-9,BRD-K92435527-001-03-9,PF-04885614,2.5,-0.026142718465618633,0.0044436689523181,0.5130653094581373,895,-1.1977861924570643,1.1977861924570643,0.011895023526556874
PF-05089771,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003145-001-01-9,BRD-K00003145-001-01-9,PF-05089771,2.5,-0.024986032474015544,-0.0297131242244597,0.42354108898145654,895,-1.1977861924570643,1.1977861924570643,0.011368727567662917
PF-06273340,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004638-001-01-9,BRD-K00004638-001-01-9,PF-06273340,2.5,-0.020436547370198118,0.0026432666757671,0.433470070491343,895,-1.1977861924570643,1.1977861924570643,0.009298696770567397
