trait,outcome,outcome_pretty,scheme,k,fe_beta,fe_se,fe_p,re_beta,re_se,re_p,Q,Q_p,I2,tau2,re_or,re_or_lo,re_or_hi,fe_or,fe_or_lo,fe_or_hi,cohorts
Hannum,ALLERG_RHINITIS,Allergic rhinitis,primary,2,-0.005024114885591332,0.0005755046608793376,0.0,-0.01532532824631526,0.011413593301372675,0.1793607191671407,11.41680707718571,0.0007278266971388891,91.24098363720005,0.00023950400812874836,0.9847915069890437,0.9630056779292653,1.007070191240333,0.994988484869896,0.9938667814227756,0.9961114543001911,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
Hannum,ALLERG_RHINITIS,Allergic rhinitis,all_cohorts,2,-0.005024114885591332,0.0005755046608793376,0.0,-0.01532532824631526,0.011413593301372675,0.1793607191671407,11.41680707718571,0.0007278266971388891,91.24098363720005,0.00023950400812874836,0.9847915069890437,0.9630056779292653,1.007070191240333,0.994988484869896,0.9938667814227756,0.9961114543001911,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
IEAA,ALLERG_ASTHMA,Asthma,primary,3,-0.008570395794372894,0.0013308761825401528,1.1973799729503298e-10,-0.009668213195276927,0.002405804651179301,5.851950015167695e-05,3.109858814663595,0.21120429158921294,35.688398760432236,6.889333416324858e-06,0.9903783737196239,0.9857193593372755,0.9950594089893672,0.9914662253537423,0.9888833387517046,0.9940558582553055,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018
IEAA,ALLERG_ASTHMA,Asthma,all_cohorts,4,-0.0009525248141313719,0.0001805880222311123,1.3306511026378587e-07,-0.006951408628658535,0.003255598033056159,0.032743279806903836,36.48804322727825,5.9045270450752696e-08,91.77812857402773,3.0133195563228308e-05,0.9930726965250374,0.9867561017510266,0.9994297261840905,0.9990479286936255,0.9986943757322666,0.9994016068180969,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018; UKBB Neale asthma 20002_1111
IEAA,L12_ATOPIC,Atopic dermatitis,primary,2,-0.0016830416724101978,0.0013470630693754723,0.21151308945922453,-0.0019518656887794234,0.00191796452114108,0.30883214811150017,1.8987956051978423,0.16821319109761657,47.33503715394336,3.567210895434515e-06,0.9980500379622956,0.9943052010436746,1.0018089790046125,0.9983183738479874,0.9956860466563927,1.0009576602075516,FinnGen R12 (discovery); Budu-Aggrey AD EUR meta 2023
IEAA,L12_ATOPIC,Atopic dermatitis,all_cohorts,3,-0.0023479174584624994,0.0012899649975887362,0.0687376204825052,-0.0034452552333485062,0.0022778018369351634,0.13039778986401984,4.834719807559901,0.08915668925506148,58.6325561851038,8.7895627925913e-06,0.9965606728485904,0.9921214528988902,1.0010197559649463,0.9976548367437652,0.995135620746826,1.0001804302123845,"FinnGen R12 (discovery); EAGLE AD (EUR, Paternoster 2015); Budu-Aggrey AD EUR meta 2023"
IEAA,ALLERG_RHINITIS,Allergic rhinitis,primary,2,0.0005536611054847932,0.0002379743713276219,0.019988818225489702,0.0020513263800045023,0.0022978897330898835,0.3720178001936736,2.550724054678683,0.11024372208641353,60.79544558472551,7.55448699523767e-06,1.0020534317893444,0.9975504675160974,1.0065767225402045,1.000553814404085,1.0000872351424464,1.0010206113429423,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
IEAA,ALLERG_RHINITIS,Allergic rhinitis,all_cohorts,2,0.0005536611054847932,0.0002379743713276219,0.019988818225489702,0.0020513263800045023,0.0022978897330898835,0.3720178001936736,2.550724054678683,0.11024372208641353,60.79544558472551,7.55448699523767e-06,1.0020534317893444,0.9975504675160974,1.0065767225402045,1.000553814404085,1.0000872351424464,1.0010206113429423,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
PhenoAge,ALLERG_ASTHMA,Asthma,primary,3,-0.019049170024451254,0.0018499552918364154,0.0,-0.02990017522415314,0.017152764634623917,0.08130402085788657,62.76488994455747,2.353672812205332e-14,96.813505127203,0.0008146057585008831,0.9705424128917651,0.9384557311052439,1.003726168428219,0.9811311188156484,0.9775800651486392,0.9846950716636,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018
PhenoAge,ALLERG_ASTHMA,Asthma,all_cohorts,4,-0.001775225382647892,0.0002480336475125701,8.233413950620161e-13,-0.022080291341402093,0.008641007248391123,0.010609894000504605,151.54968229595394,0.0,98.02045114542605,0.00025824304494852143,0.9781616939836503,0.961734681177078,0.9948692901517553,0.9982263493979304,0.9977411836420997,0.9987117510724687,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018; UKBB Neale asthma 20002_1111
PhenoAge,L12_ATOPIC,Atopic dermatitis,primary,2,0.0003989267585613809,0.0019207064137287309,0.8354648290587829,-0.0014173774974690283,0.005623941966563171,0.8010212559177889,7.399829816485372,0.006523004788761666,86.48617569863302,5.484826745729555e-05,0.9985836265076087,0.9876367569429673,1.0096518301076867,1.000399006340423,0.9966399996650839,1.004172190784254,FinnGen R12 (discovery); Budu-Aggrey AD EUR meta 2023
